"authors","title","update_date","abstract","nrc_sen","vader_sen","year"
"Mohammad Reza Ehsani, Ariyan Zarei, Hoshin V. Gupta, Kobus Barnard,
  Ali Behrangi","Nowcasting-Nets: Deep Neural Network Structures for Precipitation
  Nowcasting Using IMERG",2022-04-20,"accurate timely estimation precipitation critical issuing hazard warnings eg flash floods landslides current remotely sensed precipitation products hours latency associated acquisition processing satellite data applying robust nowcasting system products principle possible reduce latency improve applicability value impact however development system complicated chaotic nature atmosphere consequent rapid changes can occur structures precipitation systems work develop two approaches hereafter referred nowcastingnets use recurrent convolutional deep neural network structures address challenge precipitation nowcasting total five models trained using global precipitation measurement gpm integrated multisatellite retrievals gpm imerg precipitation data eastern contiguous united states conus tested independent data eastern western conus models designed provide forecasts lead time hours using feedback loop approach ability models extend forecast time hours also investigated model performance compared random forest rf linear regression lr machine learning methods also persistence benchmark bm used recent observation forecast independent imerg observations used reference experiments conducted examine overall statistics case studies involving specific precipitation events overall forecasts provided nowcastingnet models superior convolutional nowcasting network residual head cncr achieving improvement test",5,0.912,2022
"Shwetank Choudhary, CR Karthik, Punuru Sri Lakshmi and Sumit Kumar","LEAN: Light and Efficient Audio Classification Network",2023-05-23,"past years audio classification task largescale dataset audioset important research area several deeper convolutionbased neural networks shown compelling performance notably vggish yamnet pretrained audio neural network pann models available pretrained architecture transfer learning well specific audio task adoption paper propose lightweight ondevice deep learningbased model audio classification lean lean consists raw waveformbased temporal feature extractor called wave encoder logmelbased pretrained yamnet show using combination trainable wave encoder pretrained yamnet along cross attentionbased temporal realignment results competitive performance downstream audio classification tasks lesser memory footprints hence making suitable resource constraints devices mobile edge devices etc proposed system achieves ondevice mean average precisionmap memory footprint mere mb fsdk dataset improvement baseline ondevice map dataset",7.25,0.818,2023
"Thomas Bonte, Maxence Philbert, Emeline Coleno, Edouard Bertrand,
  Arthur Imbert and Thomas Walter","Learning with minimal effort: leveraging in silico labeling for cell and
  nucleus segmentation",2023-01-11,"deep learning provides us powerful methods perform nucleus cell segmentation unprecedented quality however methods usually require large training sets manually annotated images tedious expensive generate paper propose use silico labeling isl pretraining scheme segmentation tasks strategy acquire labelfree microscopy images brightfield phase contrast along fluorescently labeled images dapi cellmask train model predict fluorescently labeled images labelfree microscopy images comparing segmentation performance across several training set sizes show scheme can dramatically reduce number required annotations",2.3,0.477,2023
"Rishikesh Magar, Yuyang Wang, and Amir Barati Farimani","Crystal Twins: Self-supervised Learning for Crystalline Material
  Property Prediction",2022-05-05,"machine learning ml models widely successful prediction material properties however large labeled datasets required training accurate ml models elusive computationally expensive generate recent advances selfsupervised learning ssl frameworks capable training ml models unlabeled data mitigated problem demonstrated superior performance computer vision natural language processing tasks drawing inspiration developments ssl introduce crystal twins ct ssl method crystalline materials property prediction using large unlabeled dataset pretrain graph neural network gnn applying redundancy reduction principle graph latent embeddings augmented instances obtained crystalline system sharing pretrained weights finetuning gnn regression tasks significantly improve performance challenging material property prediction benchmarks",7.4,0.966,2022
"Gouhei Tanaka, Tadayoshi Matsumori, Hiroaki Yoshida, Kazuyuki Aihara","Reservoir Computing with Diverse Timescales for Prediction of Multiscale
  Dynamics",2022-08-01,"machine learning approaches recently leveraged substitute aid physicalmathematical modeling approaches dynamical systems develop efficient machine learning method dedicated modeling prediction multiscale dynamics propose reservoir computing rc model diverse timescales using recurrent network heterogeneous leaky integrator li neurons evaluate computational performance proposed model two time series prediction tasks related four chaotic fastslow dynamical systems onestepahead prediction task input data provided fast subsystem show proposed model yields better performance standard rc model identical li neurons analysis reveals timescale required producing component target multiscale dynamics appropriately flexibly selected reservoir dynamics model training longterm prediction task demonstrate closedloop version proposed model can achieve longerterm predictions compared counterpart identical li neurons depending hyperparameter setting",4.1,0.938,2022
"Qizhang Li, Yiwen Guo, Wangmeng Zuo, and Hao Chen","Squeeze Training for Adversarial Robustness",2023-02-13,"vulnerability deep neural networks dnns adversarial examples attracted great attention machine learning community problem related nonflatness nonsmoothness normally obtained loss landscapes training augmented adversarial examples aka adversarial training considered effective remedy paper highlight collaborative examples nearly perceptually indistinguishable adversarial benign examples yet show extremely lower prediction loss can utilized enhance adversarial training novel method therefore proposed achieve new stateofthearts adversarial robustness code httpsgithubcomqizhanglistat",4.85,-0.788,2023
"Pragya Katyayan, Nisheeth Joshi","Implications of Deep Circuits in Improving Quality of Quantum Question
  Answering",2023-05-18,"question answering qa proved arduous challenge area natural language processing nlp artificial intelligence ai many attempts made develop complete solutions qa well improving significant submodules qa systems improve overall performance course time questions important piece qa knowing question equivalent knowing counts answer harrah philos sci work attempted understand questions better way using quantum machine learning qml properties quantum computing qc enabled classically intractable data processing paper performed question classification questions two classes selqa selectionbased question answering dataset using quantumbased classifier algorithmsquantum support vector machine qsvm variational quantum classifier vqc qiskit quantum information science toolkit python perform classification classifiers almost similar environments study effects circuit depths comparing results classifiers also use classification results rulebased qa system observe significant performance improvement hence experiment helped improving quality qa general",10.8,0.98,2023
"Michael Guevarra (1), Srijita Das (2 and 3), Christabel Wayllace (2
  and 3), Carrie Demmans Epp (2), Matthew E. Taylor (2 and 3), Alan Tay (1)
  ((1) Delphi Technology Corp, (2) University of Alberta, (3) Alberta Machine
  Intelligence Institute)","Augmenting Flight Training with AI to Efficiently Train Pilots",2022-10-14,"propose aibased pilot trainer help students learn fly aircraft first ai agent uses behavioral cloning learn flying maneuvers qualified flight instructors later system uses agents decisions detect errors made students provide feedback help students correct errors paper presents instantiation pilot trainer focus teaching straight level flying maneuvers automatically providing formative feedback human student",4.55,0.361,2022
"Muhammad R. Hasyim, Clay H. Batton, Kranthi K. Mandadapu","Supervised Learning and the Finite-Temperature String Method for
  Computing Committor Functions and Reaction Rates",2022-11-23,"central object computational studies rare events committor function though costly compute committor function encodes complete mechanistic information processes involving rare events including reaction rates transitionstate ensembles framework transition path theory tpt recent work proposes algorithm feedback loop couples neural network models committor function importance sampling mainly umbrella sampling collects data needed adaptive training work show additional modifications needed improve accuracy algorithm first modification adds elements supervised learning allows neural network improve prediction fitting samplemean estimates committor values obtained short molecular dynamics trajectories second modification replaces committorbased umbrella sampling finitetemperature string fts method enables homogeneous sampling regions transition pathways located test modifications lowdimensional systems nonconvex potential energy reference solutions can found via analytical finite element methods show combining supervised learning fts method yields accurate computation committor functions reaction rates also provide error analysis algorithms use fts method using reaction rates can accurately estimated training small number samples methods applied molecular system reference solution known accurate computations committor functions reaction rates can still obtained",7.55,0.925,2022
"Abdollah Masoud Darya, Noora Alameri, Muhammad Mubasshir Shaikh, Ilias
  Fernini","Martian Ionosphere Electron Density Prediction Using Bagged Trees",2022-12-29,"availability martian atmospheric data provided several martian missions broadened opportunity investigate study conditions martian ionosphere ionospheric models play crucial part improving understanding ionospheric behavior response different spatial temporal space weather conditions work represents initial attempt construct electron density prediction model martian ionosphere using machine learning model targets ionosphere solar zenith ranging degrees utilizes observations mars global surveyor mission performance different machine learning methods compared terms root mean square error coefficient determination mean absolute error bagged regression trees method performed best evaluated methods furthermore optimized bagged regression trees model outperformed martian ionosphere models literature miri nemars finding peak electron density value peak density height terms rootmeansquare error mean absolute error",4.65,0.859,2022
"Charles Moussa, Hao Wang, Thomas B\""ack, Vedran Dunjko","Unsupervised strategies for identifying optimal parameters in Quantum
  Approximate Optimization Algorithm",2022-05-09,"combinatorial optimization one main quantum computing applications many methods based parameterized quantum circuits developed general set parameters tweaked optimize cost function quantum circuit output one algorithms quantum approximate optimization algorithm stands promising approach tackling combinatorial problems however finding appropriate parameters difficult task although qaoa exhibits concentration properties can depend instances characteristics may easy identify may nonetheless offer useful information find good parameters work study unsupervised machine learning approaches setting parameters without optimization perform clustering angle values also instances encodings using instance features output variational graph autoencoder compare different approaches anglefinding strategies can used reduce calls quantum circuits leveraging qaoa subroutine showcase within recursiveqaoa depth number qaoa parameters used per iteration limited achieving median approximation ratio maxcut erdhosrenyi graphs obtain similar performances case extensively optimize angles hence saving numerous circuit calls",4.95,0.949,2022
"Lennert De Smet and Pedro Zuidberg Dos Martires and Robin Manhaeve and
  Giuseppe Marra and Angelika Kimmig and Luc De Raedt","Neural Probabilistic Logic Programming in Discrete-Continuous Domains",2023-03-15,"neuralsymbolic ai nesy allows neural networks exploit symbolic background knowledge form logic shown aid learning limited data regime facilitate inference outofdistribution data probabilistic nesy focuses integrating neural networks logic probability theory additionally allows learning uncertainty major limitation current probabilistic nesy systems deepproblog restriction finite probability distributions ie discrete random variables contrast deep probabilistic programming dpp excels modelling optimising continuous probability distributions hence introduce deepseaproblog neural probabilistic logic programming language incorporates dpp techniques nesy results support inference learning discrete continuous probability distributions logical constraints main contributions semantics deepseaproblog corresponding inference algorithm proven asymptotically unbiased learning algorithm series experiments illustrate versatility approach",5.45,0.13,2023
"Christian Westbrook, Sudeep Pasricha","Adversarial Attacks on Machine Learning in Embedded and IoT Platforms",2023-03-07,"machine learning ml algorithms increasingly integrated embedded iot systems surround us vulnerable adversarial attacks deployment ml algorithms resourcelimited embedded platforms also requires use model compression techniques impact model compression techniques adversarial robustness ml important emerging area research article provides overview landscape adversarial attacks ml model compression techniques relevant embedded systems describe efforts seek understand relationship adversarial attacks ml model compression discussing open problems area",1.25,-0.961,2023
"Lyndon R. Duong, Jingyang Zhou, Josue Nassar, Jules Berman, Jeroen
  Olieslagers, Alex H. Williams","Representational dissimilarity metric spaces for stochastic neural
  networks",2023-02-07,"quantifying similarity neural representations eg hidden layer activation vectors perennial problem deep learning neuroscience research existing methods compare deterministic responses eg artificial networks lack stochastic layers averaged responses eg trialaveraged firing rates biological data however measures deterministic representational similarity ignore scale geometric structure noise play important roles neural computation rectify generalize previously proposed shape metrics williams et al quantify differences stochastic representations new distances satisfy triangle inequality thus can used rigorous basis many supervised unsupervised analyses leveraging novel framework find stochastic geometries neurobiological representations oriented visual gratings naturalistic scenes respectively resemble untrained trained deep network representations able accurately predict certain network attributes eg training hyperparameters position stochastic versus deterministic shape space",0.95,0.052,2023
"Marina Sapir","Theory of Machine Learning with Limited Data",2023-01-03,"application machine learning may understood deriving new knowledge practical use explaining accumulated observations training set peirce used term abduction kind inference formalize concept abduction real valued hypotheses show popular textbook ml learners every learner tested covering classification regression clustering implement concept abduction inference approach proposed alternative statistical learning theory requires impractical assumption indefinitely increasing training set justification",3.3,-0.511,2023
"Zeyd Boukhers and Nagaraj Bahubali Asundi","Deep Author Name Disambiguation using DBLP Data",2023-03-20,"academic world number scientists grows every year number authors sharing names consequently challenging assign newly published papers respective authors therefore author name ambiguity ana considered critical open problem digital libraries paper proposes author name disambiguation approach links author names realworld entities leveraging coauthors domain research end use data collected dblp repository contains million bibliographic records authored around million coauthors approach first groups authors share last names first name initials author within group identified capturing relation hisher coauthors area research represented titles validated publications corresponding author end train neural network model learns representations coauthors titles validated effectiveness approach conducting extensive experiments large dataset",2.2,0.778,2023
"Jiabin Lou and Rong Ding and Wenjun Wu","Evolutionary Programmer: Autonomously Creating Path Planning Programs
  based on Evolutionary Algorithms",2022-04-08,"evolutionary algorithms wildly used unmanned aerial vehicle path planning flexibility effectiveness nevertheless sensitive change environment cant adapt scenarios due drawback previously successful planner frequently fail new scene paper firstofitskind machine learning method named evolutionary programmer proposed solve problem concretely commonly used evolutionary algorithms decomposed series operators constitute operator library system new method recompose operators integrated planner thus suitable operators can selected adapting changing circumstances different normal machine programmers method focuses specific task highlevel integrated instructions thus alleviate problem huge search space caused briefness instructions basis bit sequence presented represent path planner evolved modified genetic algorithm finally suitable planner created utilizing information previous planner various randomly generated ones",6.55,0.34,2022
"Mingzhou Liu, Xiangyu Zheng, Xinwei Sun, Fang Fang, Yizhou Wang","Which Invariance Should We Transfer? A Causal Minimax Learning Approach",2023-05-31,"major barrier deploying current machine learning models lies nonreliability dataset shifts resolve problem existing studies attempted transfer stable information unseen environments particularly independent causal mechanismsbased methods proposed remove mutable causal mechanisms via dooperator compared previous methods obtained stable predictors effective identifying stable information however key question remains subset whole stable information model transfer order achieve optimal generalization ability answer question present comprehensive minimax analysis causal perspective specifically first provide graphical condition whole stable set optimal condition fails surprisingly find example whole stable set although can fully exploit stable information optimal one transfer identify optimal subset case propose estimate worstcase risk novel optimization scheme intervention functions mutable causal mechanisms propose efficient algorithm search subset minimal worstcase risk based newly defined equivalence relation stable subsets compared exponential cost exhaustively searching subsets searching strategy enjoys polynomial complexity effectiveness efficiency methods demonstrated synthetic data diagnosis alzheimers disease",7.65,0.985,2023
"Dmitrii Kochkov, Jamie A. Smith, Ayya Alieva, Qing Wang, Michael P.
  Brenner, Stephan Hoyer","Machine learning accelerated computational fluid dynamics",2022-04-27,"numerical simulation fluids plays essential role modeling many physical phenomena weather climate aerodynamics plasma physics fluids well described navierstokes equations solving equations scale remains daunting limited computational cost resolving smallest spatiotemporal features leads unfavorable tradeoffs accuracy tractability use endtoend deep learning improve approximations inside computational fluid dynamics modeling twodimensional turbulent flows direct numerical simulation turbulence large eddy simulation results accurate baseline solvers x finer resolution spatial dimension resulting x fold computational speedups method remains stable long simulations generalizes forcing functions reynolds numbers outside flows trained contrast black box machine learning approaches approach exemplifies scientific computing can leverage machine learning hardware accelerators improve simulations without sacrificing accuracy generalization",4.35,0.936,2022
"Marcelo Archanjo Jos\'e, Fabio Gagliardi Cozman","mRAT-SQL+GAP:A Portuguese Text-to-SQL Transformer",2021-11-30,"translation natural language questions sql queries attracted growing attention particular connection transformers similar language models large number techniques geared towards english language work thus investigated translation sql input questions given portuguese language properly adapted stateoftheart tools resources changed ratsqlgap system relying multilingual bart model report tests language models produced translated version spider dataset experiments expose interesting phenomena arise nonenglish languages targeted particular better train original translated training datasets together even single target language desired multilingual bart model finetuned doublesize training dataset english portuguese achieved baseline making inferences portuguese test dataset investigation can help researchers produce results machine learning language different english multilingual ready version ratsqlgap data available opensourced mratsqlgap httpsgithubcomcaigaptextsql",9.75,0.958,2021
"Taekyung Kim, Jungwi Mun, Junwon Seo, Beomsu Kim, Seongil Hong","Bridging Active Exploration and Uncertainty-Aware Deployment Using
  Probabilistic Ensemble Neural Network Dynamics",2023-05-30,"recent years learningbased control robotics gained significant attention due capability address complex tasks realworld environments advances machine learning algorithms computational capabilities approach becoming increasingly important solving challenging control problems robotics learning unknown partially known robot dynamics active exploration robot directs states yield highest information gain essential efficient data collection minimizing human supervision similarly uncertaintyaware deployment growing concern robotic control uncertain actions informed learned model can lead unstable motions failure however active exploration uncertaintyaware deployment studied independently limited literature seamlessly integrates paper presents unified modelbased reinforcement learning framework bridges two tasks robotics control domain framework uses probabilistic ensemble neural network dynamics learning allowing quantification epistemic uncertainty via jensenrenyi divergence two opposing tasks exploration deployment optimized stateoftheart samplingbased mpc resulting efficient collection training data successful avoidance uncertain stateaction spaces conduct experiments autonomous vehicles wheeled robots showing promising results exploration deployment",7.75,0.976,2023
"Burhaneddin Yaman, Seyed Amir Hossein Hosseini, Mehmet Ak\c{c}akaya","Zero-Shot Self-Supervised Learning for MRI Reconstruction",2022-06-02,"deep learning dl emerged powerful tool accelerated mri reconstruction methods often necessitate database fullysampled measurements training recent selfsupervised unsupervised learning approaches enable training without fullysampled data however database undersampled measurements may available many scenarios especially scans involving contrast recently developed translational acquisitions moreover databasetrained models may generalize well unseen measurements differ terms sampling pattern acceleration rate snr image contrast anatomy challenges necessitate new methodology can enable scanspecific dl mri reconstruction without external training datasets work propose zeroshot selfsupervised learning approach perform scanspecific accelerated mri reconstruction tackle issues proposed approach splits available measurements scan three disjoint sets two sets used enforce data consistency define loss training last set used establish early stopping criterion presence models pretrained database different image characteristics show proposed approach can combined transfer learning improve reconstruction quality",4.75,0.637,2022
"Atsuto Seko","Systematic development of polynomial machine learning potentials for
  metallic and alloy systems",2022-09-29,"machine learning potentials mlps developed extensive datasets constructed density functional theory dft calculations become increasingly appealing many researchers paper presents framework polynomialbased mlps called polynomial mlps systematic development accurate computationally efficient polynomial mlps many elemental binary alloy systems predictive powers various properties also demonstrated consequently many polynomial mlps available repository website repository will help many scientists perform accurate efficient largescale atomistic simulations crystal structure searches",4.85,0.807,2022
"Shira Faigenbaum-Golovin, Or Shimshi","Image Quality Assessment: Learning to Rank Image Distortion Level",2022-08-09,"years various algorithms developed attempting imitate human visual system hvs evaluate perceptual image quality however certain image distortions functionality hvs continues enigma echoing behavior remains challenge especially illdefined distortions paper learn compare image quality two registered images respect chosen distortion method takes advantage fact times simulating image distortion later evaluating relative image quality easier assessing absolute value thus given pair images look optimal dimensional reduction function will map image numerical score scores will reflect image quality relation ie less distorted image will receive lower score look optimal dimensional reduction mapping form deep neural network minimizes violation image quality order subsequently extend method order set images utilizing predicted level chosen distortion demonstrate validity method latent chromatic aberration moire distortions synthetic real datasets",2.2,0.862,2022
"Michelle S. Lam, Zixian Ma, Anne Li, Izequiel Freitas, Dakuo Wang,
  James A. Landay, Michael S. Bernstein","Model Sketching: Centering Concepts in Early-Stage Machine Learning
  Model Design",2023-03-07,"machine learning practitioners often end tunneling lowlevel technical details like model architectures performance metrics early model development instead focus highlevel questions factors model pay attention inspired practice sketching design distills ideas minimal representation introduce model sketching technical framework iteratively rapidly authoring functional approximations machine learning models decisionmaking logic model sketching refocuses practitioner attention composing highlevel humanunderstandable concepts model expected reason eg profanity racism sarcasm content moderation task using zeroshot concept instantiation evaluation ml practitioners model sketching reframed thinking implementation higherlevel exploration prompted iteration broader range model designs helped identify gaps problem formulationunicodexall fraction time ordinarily required build model",4.55,-0.361,2023
"Shutang You, Yilu Liu, Hongyu Li, Shengyuan Liu, Kaiqi Sun, Yinfeng
  Zhao, Huangqing Xiao, Jiaojiao Dong, Yu Su, Weikang Wang, Yi Cui","Build Smart Grids on Artificial Intelligence -- A Real-world Example",2022-02-04,"power grid data going big deployment various sensors big data power grids creates huge opportunities applying artificial intelligence technologies improve resilience reliability paper introduces multiple realworld applications based artificial intelligence improve power grid situational awareness resilience applications include event identification inertia estimation event location magnitude estimation data authentication control stability assessment applications operating realworld system called fnetgrideye widearea measurement network arguably worldlargest cyberphysical system collects power grid big data applications showed much better performance compared conventional approaches accomplished new tasks impossible realized using conventional technologies encouraging results demonstrate combining power grid big data artificial intelligence can uncover capture nonlinear correlation power grid data stabilities indices will potentially enable many advanced applications can significantly improve power grid resilience",8.2,0.985,2022
"Yuval Meir, Shira Sardi, Shiri Hodassman, Karin Kisos, Itamar
  Ben-Noam, Amir Goldental and Ido Kanter","Power-law Scaling to Assist with Key Challenges in Artificial
  Intelligence",2022-11-17,"powerlaw scaling central concept critical phenomena found useful deep learning optimized test errors handwritten digit examples converge powerlaw zero database size rapid decision making one training epoch example presented trained network powerlaw exponent increased number hidden layers largest dataset obtained test error estimated proximity stateoftheart algorithms large epoch numbers powerlaw scaling assists key challenges found current artificial intelligence applications facilitates priori dataset size estimation achieve desired test accuracy establishes benchmark measuring training complexity quantitative hierarchy machine learning tasks algorithms",4.35,0.751,2022
"Carson Koppel, Brandon Wilfong, Allana Iwanicki, Elizabeth Hedrick,
  Tanya Berry and Tyrel M.McQueen","Machine-guided Design of Oxidation Resistant Superconductors for Quantum
  Information Applications",2023-01-30,"decoherence superconducting qubits long attributed two level systems arising surfaces interfaces present real devices recent significant step reducing decoherence replacement superconducting niobium superconducting tantalum resulting tripling transmon qubit lifetimes t one surface variables identity thickness quality native surface oxide thought play major role tantalum one oxide whereas niobium several report development thermodynamic metric rank materials based potential form welldefined thin surface oxide first compute metric known binary ternary metal alloys using data available materials project experimentally validate strengths limits metric preparation controlled oxidation known metal alloys train convolutional neural network predict value metric atomic composition atomic properties allows us compute metric materials present materials project including large selection known superconductors combined tc allow us identify new candidate superconductors quantum information science qise applications test oxidation resistance pair predictions experimentally results expected lay foundation tailored rapid selection improved superconductors qise",6.1,0.93,2023
"Nam Nguyen and Kwang-Cheng Chen","Translational Quantum Machine Intelligence for Modeling Tumor Dynamics
  in Oncology",2023-01-10,"quantifying dynamics tumor burden reveals useful information cancer evolution concerning treatment effects drug resistance play crucial role advancing modelinformed drug developments midd towards personalized medicine precision oncology emergence quantum machine intelligence offers unparalleled insights tumor dynamics via quantum mechanics perspective paper introduces novel hybrid quantumclassical neural architecture named etanet enables quantifying quantum dynamics tumor burden concerning treatment effects evaluate proposed neural solution two major use cases including cohortspecific patientspecific modeling silico numerical results show high capacity expressivity etanet quantified biological problem moreover close connection representation learning foundation successes modern ai enables efficient transferability empirical knowledge relevant cohorts targeted patients finally leverage bayesian optimization quantify epistemic uncertainty model predictions paving way etanet towards reliable ai decisionmaking clinical usages",6.3,0.494,2023
"Thorsten Hoeser and Claudia Kuenzer","SyntEO: Synthetic Data Set Generation for Earth Observation and Deep
  Learning -- Demonstrated for Offshore Wind Farm Detection",2022-04-21,"emergence deep learning last years new opportunities arose earth observation research nevertheless also brought new challenges datahungry training processes deep learning models demand large resource expensive annotated data sets partly replaced knowledgedriven approaches model behaviour final prediction process became black box proposed synteo approach enables earth observation researchers automatically generate large deep learning ready data sets merging existing procedural data synteo including expert knowledge data generation process highly structured manner control automatic image label generation employing ontology way fully controllable experiment environments set support insights model training synthetic data sets thus synteo makes learning process approachable important cornerstone explainable machine learning demonstrate synteo approach predicting offshore wind farms sentinel images two worlds largest offshore wind energy production sites largest generated data set training examples basic convolutional neural network object detection trained synthetic data confidently detects offshore wind farms minimising false detections challenging environments addition four sequential data sets generated demonstrating synteo approach can precisely define data set structure influence training process synteo thus hybrid approach creates interface expert knowledge datadriven image analysis",8.85,0.936,2022
"Tom Yan and Chicheng Zhang","Active Fairness Auditing",2022-06-20,"fast spreading adoption machine learning ml companies across industries poses significant regulatory challenges one challenge scalability can regulatory bodies efficiently audit ml models ensuring fair paper initiate study querybased auditing algorithms can estimate demographic parity ml models queryefficient manner propose optimal deterministic algorithm well practical randomized oracleefficient algorithm comparable guarantees furthermore make inroads understanding optimal query complexity randomized active fairness estimation algorithms first exploration active fairness estimation aims put ai governance firmer theoretical foundations",9.15,0.963,2022
"R\""udiger Brecht and Alex Bihlo","M-ENIAC: A machine learning recreation of the first successful numerical
  weather forecasts",2023-04-19,"first successful numerical weather forecast obtained solving barotropic vorticity equation using electronic numerical integrator computer eniac marked beginning age numerical weather prediction ask question numerical forecasts turned machine learning based solvers used instead standard numerical discretizations specifically recreate numerical forecasts using physicsinformed neural networks show physicsinformed neural networks provide easier accurate methodology solving meteorological equations sphere compared eniac solver",5.25,0.886,2023
"Hans Johnson, Tianyang Fang, Alejandro Perez-Vicente, and Jafar Saniie","Reconfigurable Distributed FPGA Cluster Design for Deep Learning
  Accelerators",2023-05-31,"propose distributed system based lowpower embedded fpgas designed edge computing applications focused exploring distributing scheduling optimizations deep learning dl workloads obtain best performance regarding latency power efficiency cluster modular throughout experiment implementations consist zynq chipbased boards well ultrascale mpsoc fpga boards connected ethernet switch cluster will evaluate configurable deep learning accelerator dla versatile tensor accelerator vta adaptable distributed architecture distinguished capacity evaluate manage neural network workloads numerous configurations enables users conduct multiple experiments tailored specific application needs proposed system can simultaneously execute diverse neural network nn models arrange computation graph pipeline structure manually allocate greater resources computationally intensive layers nn graph",7.5,0.93,2023
